N,P,K,temperature,humidity,ph,rainfall,label
92,10,130,24.46,38.1,4.52,185.04,rice
103,96,48,29.63,53.54,5.77,176.71,rice
86,100,15,26.31,86.39,7.0,56.4,rice
48,65,35,14.45,59.7,9.6,53.69,rice
67,119,114,24.86,91.3,4.57,164.94,rice
56,14,175,35.23,36.21,3.99,232.25,rice
90,133,5,12.78,73.23,5.96,144.18,rice
127,80,136,40.47,21.13,6.83,61.65,rice
39,129,125,21.2,59.0,8.95,271.33,rice
86,18,199,23.21,29.91,3.51,59.29,rice
58,75,106,44.72,94.06,9.5,48.66,rice
46,66,15,32.05,86.38,9.46,221.35,rice
67,66,16,38.92,28.38,7.74,218.95,rice
88,61,106,43.08,89.43,4.18,33.32,rice
101,69,168,27.15,54.08,9.36,170.56,rice
65,48,88,21.61,27.98,4.58,183.95,rice
103,38,58,29.61,83.09,6.11,257.57,rice
17,124,186,32.76,15.66,8.35,215.55,rice
21,44,73,24.09,14.58,6.7,85.05,rice
4,131,51,14.06,63.89,4.87,28.66,rice
1,65,78,22.15,56.75,6.2,73.56,rice
99,44,190,28.25,66.89,4.73,260.41,rice
26,129,151,10.43,77.59,7.08,166.63,rice
134,59,70,27.41,97.66,6.85,58.83,rice
85,18,65,23.06,80.88,8.77,132.34,rice
39,39,132,25.74,19.15,3.78,294.27,rice
77,19,10,25.06,73.29,8.95,114.61,rice
69,48,171,25.91,60.33,8.63,131.18,rice
134,102,164,15.19,22.95,6.17,24.12,rice
107,43,104,17.45,84.53,8.79,215.23,rice
52,144,80,30.64,91.61,6.96,160.86,rice
117,98,194,31.14,84.14,6.71,76.19,rice
93,84,102,37.28,21.33,6.42,152.84,rice
1,114,24,10.12,59.93,4.92,245.66,rice
89,31,78,20.48,48.4,7.51,182.69,rice
114,127,23,27.4,32.4,7.58,299.99,rice
51,84,92,38.46,90.84,6.91,274.57,rice
81,139,105,22.66,46.99,9.53,50.23,rice
77,122,135,26.35,95.76,7.58,126.67,rice
4,41,93,25.06,83.85,7.7,31.58,rice
102,63,189,29.97,49.43,3.74,290.95,rice
53,61,148,36.93,93.69,6.45,219.79,rice
85,118,148,39.68,98.24,6.43,143.54,rice
122,54,33,11.05,28.56,7.96,66.01,rice
60,144,154,20.09,48.67,6.33,221.56,rice
3,29,56,34.42,73.12,6.36,175.71,rice
132,85,38,42.37,99.19,9.31,208.74,rice
117,105,131,26.09,55.72,6.02,50.6,rice
23,118,120,43.54,66.37,7.83,214.68,rice
47,6,135,20.44,24.28,9.65,226.07,rice
71,103,179,16.11,41.33,6.77,288.87,rice
53,28,175,41.93,54.47,4.53,33.5,rice
55,46,185,37.92,63.56,7.34,216.33,rice
75,11,69,34.91,92.28,7.77,171.32,rice
38,80,161,25.55,97.87,7.55,111.89,rice
23,136,108,30.53,69.42,3.87,116.07,rice
26,31,158,26.04,31.88,5.52,292.92,rice
46,8,62,42.52,69.07,8.24,155.83,rice
48,24,47,23.45,30.55,6.62,25.48,rice
100,98,99,13.5,45.62,8.64,201.06,rice
4,131,56,28.85,62.98,7.32,169.67,rice
14,69,31,17.33,63.22,5.11,122.79,rice
49,127,104,19.25,18.2,8.69,255.32,rice
1,27,112,42.13,70.4,7.89,105.82,rice
36,79,153,17.65,53.26,8.24,128.7,rice
37,112,188,39.43,88.46,7.39,83.82,rice
103,12,117,24.48,98.68,8.32,107.41,rice
81,57,178,18.42,81.16,6.18,200.47,rice
62,49,191,25.28,86.87,9.11,79.69,rice
48,11,179,34.62,61.83,7.47,199.03,rice
4,120,118,22.21,84.61,5.12,89.71,rice
48,62,129,11.07,43.83,6.42,198.26,rice
58,87,201,42.76,80.11,4.5,70.77,rice
65,32,72,36.67,21.48,5.06,287.04,rice
40,134,116,34.93,37.37,6.59,224.25,rice
107,95,136,14.6,75.16,7.01,199.28,rice
90,54,15,32.83,16.79,4.41,36.86,rice
22,43,116,37.42,95.16,8.4,110.63,rice
11,10,100,22.16,79.13,5.02,222.55,rice
64,58,147,27.92,90.04,6.42,267.34,rice
112,114,85,10.09,28.45,7.99,46.04,rice
69,10,118,21.88,54.36,8.31,28.91,rice
126,25,202,36.22,56.95,3.58,237.13,rice
110,84,91,16.67,63.42,4.84,280.18,rice
27,7,124,34.68,88.5,5.22,218.46,rice
34,125,191,32.34,84.19,5.44,152.64,rice
21,125,191,11.55,93.69,7.16,220.68,rice
